domain,hsts,csp
gastronomos.gr,undefined,undefined
idemia.com,max-age=31536000; includeSubdomains; preload,default-src 'self' 'unsafe-inline' 'unsafe-eval' data: blob: *.idemia-group.com *.twimg.com *.bootstrapcdn.com *.googleapis.com *.idemia.com *.jsdelivr.net *.cloudflare.com *.cookiebot.com *.youtube.com *.pardot.com *.google-analytics.com *.gravatar.com unpkg.com *.googletagmanager.com *.gstatic.com *.google.com *.vimeo.com; script-src 'self' 'unsafe-inline' 'unsafe-eval' data: blob: *.idemia-group.com *.twimg.com *.bootstrapcdn.com *.googleapis.com *.idemia.com *.jsdelivr.net *.cloudflare.com *.cookiebot.com *.youtube.com *.pardot.com *.google-analytics.com *.gravatar.com unpkg.com *.googletagmanager.com *.gstatic.com *.google.com *.vimeo.com; object-src 'none'
frame-ancestors 'self' theline.idemia.com;
planetspark.in,undefined,undefined
tvem.cdn.turner.com,undefined,undefined
wcdn.co.il,NA,NA
livius.org,undefined,undefined
bola006.com,undefined,undefined
primaverasound.com,undefined,undefined
portalpasazera.pl,undefined,style-src 'self' https://fonts.googleapis.com https://www.google.com/recaptcha/ https://www.gstatic.com/recaptcha/ 'unsafe-inline' 'unsafe-eval'; script-src 'self' https://apis.google.com https://www.google.com/recaptcha/ https://www.gstatic.com/recaptcha/ https://www.googletagmanager.com/gtag/ https://region1.googletagmanager.com *.perfdrive.com 'unsafe-inline' 'unsafe-eval'; frame-src 'self' https://www.google.com/recaptcha/ https://www.gstatic.com/recaptcha/ https://recaptcha.google.com/recaptcha/ https://bilet.kolejeslaskie.com/ https://bilet.kolejeslaskie.com/BiletParametry youtube.com www.youtube.com 'unsafe-inline' 'unsafe-eval'; font-src 'self' https://fonts.gstatic.com; object-src 'none'; frame-ancestors 'none'; img-src 'self' https://region1.google-analytics.com https://region1.analytics.google.com https://region1.googletagmanager.com https://region1.g.doubleclick.net https://region1.google.com data: blob:; connect-src 'self' https://region1.google-analytics.com https://region1.analytics.google.com https://region1.googletagmanager.com https://region1.g.doubleclick.net https://region1.google.com *.perfdrive.com; sandbox allow-forms allow-same-origin allow-scripts allow-popups allow-downloads; base-uri 'self'; default-src 'self';
to4ka.fun,undefined,undefined
zohostatic.eu,max-age=63072000,undefined
p141-fmfmobile.icloud.com,max-age=31536000; includeSubDomains;,undefined
083515.com,undefined,undefined
www.glamour.de,undefined,undefined
www.talent.com,undefined,default-src 'self' *.talent.com *.neuvoo.com neuvoo.com neuvoo.ca *.acsbapp.com acsbapp.com js.stripe.com fonts.gstatic.com fonts.googleapis.com *.google.com *.doubleclick.net s3.amazonaws.com *.googlesyndication.com *.atlassian.net *.googleapis.com *.cookielaw.org *.onetrust.com *.bing.com *.cloudflare.com; img-src https: 'unsafe-inline' data: 'unsafe-eval' 'unsafe-inline' blob:; script-src https: 'unsafe-inline'; style-src https: 'unsafe-inline'; frame-ancestors 'self' www.jobs-im-suedwesten.de www.energyjobline.com www.onlyengineerjobs.com www.meinestelle.de www.startus.cc www.mapmeo.com www.papa-jobs.ch job.kurier.at www.jobs-in-chemie.de www.med-jobs.com; frame-src *.google.com *.doubleclick.net *.googlesyndication.com *.talent.com talent.com *.stripe.com *.atlassian.net *.adsensecustomsearchads.com *.hotjar.com; worker-src data: *.talent.com 'unsafe-eval' 'unsafe-inline' blob:;
moslenta.ru,undefined,undefined
storeimg.heytapimg.com,NA,NA
pc-egg.com,undefined,undefined
nic.zone,NA,NA
www.convertunits.com,undefined,undefined
highwaybus.com,NA,NA
r3.com,max-age=31536000; includeSubDomains,undefined
lovesite.click,max-age=31536000,undefined
audian.com,max-age=31536000;includeSubDomains;preload,default-src 'self' data: 'unsafe-inline' 'unsafe-eval' https://*.stg.audian.com https://*.audian.com https://*.typekit.com https://*.typekit.net https://www.google.com/recaptcha/ https://*.googletagmanager.com https://*.googleapis.com https://*.tawk.to https://tawk.link https://fonts.gstatic.com https://www.gstatic.com https://*.stg.audian.com:8443 https://*.statuspage.io https://cdn.jsdelivr.net https://www.google-analytics.com https://maps.google.com wss://*.tawk.to;frame-ancestors 'self';report-uri https://sentry.audian.com:49443/api/18/security/?sentry_key=612819db7da642ecabae6c0db8dd5a3e&sentry_environment=production
bunkr.media,undefined,undefined
hrtc.ir,max-age=2592000; includeSubDomains; preload,undefined
rr3---sn-q4fl6nsl.googlevideo.com,undefined,undefined
e1722.x.akamaiedge.net,NA,NA
tgbus.com,undefined,undefined
socket.tidio.co,undefined,undefined
somosohlala.com,undefined,undefined
javfinder.ai,undefined,undefined
sync.viewdeos.com,NA,NA
appleid.com,max-age=31536000; includeSubDomains; preload,default-src 'self' ; connect-src 'self' https://www.apple.com https://appleid.cdn-apple.com https://appleid.apple.com https://api.apple-cloudkit.com https://feedbackws.apple-cloudkit.com https://*.icloud-content.com ; font-src 'self' https://www.apple.com https://appleid.cdn-apple.com ; frame-src 'self' https://idmsa.apple.com https://signin.apple.com https://gsa.apple.com https://idmsa.apple.com.cn https://familyws.icloud.apple.com  https://apps.apple.com ; img-src 'self' https://www.apple.com https://appleid.cdn-apple.com data: https://*.mzstatic.com https://appleid.apple.com https://*.icloud.com ; media-src data: ; object-src 'none' ; script-src 'self' https://www.apple.com https://appleid.cdn-apple.com https://idmsa.apple.com https://signin.apple.com https://gsa.apple.com https://idmsa.apple.com.cn ; style-src 'unsafe-inline' 'self' https://www.apple.com https://appleid.cdn-apple.com ;
careerlauncher.com,max-age=31536000; includeSubDomains; preload,undefined
solve-api.forethought.ai,max-age=15724800; includeSubDomains,undefined
mixernew.com,undefined,undefined
skiinfo.fr,undefined,undefined
tmsgameapi.com,NA,NA
snrbox.com,undefined,frame-ancestors 'self'
linkedin.edgesuite.net,NA,NA
raidc.com,NA,NA
ndsoftdns.com,NA,NA
cylex-uk.co.uk,max-age=15552000; includeSubDomains; preload,frame-ancestors *.cylex-uk.co.uk
file.zoom.us,NA,NA
oncf-voyages.ma,max-age=16070400; includeSubDomains,undefined
401games.ca,NA,NA
cloudlayout.io,undefined,undefined
od.linkedin.edgesuite.net,NA,NA
irz42.net,undefined,undefined
arena-diplomers.com,NA,NA
catalent.com,max-age=63072000; includeSubdomains,default-src * 'self' data: 'unsafe-inline' 'unsafe-eval' asset: blob: ws: wss: filesystem:; object-src 'none'; form-action 'self'; upgrade-insecure-requests; block-all-mixed-content
www.houstonchronicle.com,undefined,undefined
intersystems.com,max-age=63072000,frame-ancestors https://*.cms.intersystems.psdops.com https://*.intersystems.psdops.com https://*.intersystems.com https://*.intersystems.cn
acesso.psi.br,NA,NA
fudzilla.com,undefined,undefined
vipxdns.com,NA,NA
teacher-toolbox.i-ready.com,max-age=31536000 ; includeSubDomains,frame-ancestors 'self' https://*.i-ready.com https://teacher-toolbox.com http://localhost:8080
betuscdn.com,undefined,undefined
osff.map.fastly.net,NA,NA
rondo.cz,undefined,undefined
rejestr.io,undefined,undefined
html.design,max-age=31536000,upgrade-insecure-requests
london-fire.gov.uk,max-age=31536000,default-src https:; script-src https: 'unsafe-inline' 'unsafe-eval'; style-src https: 'unsafe-inline'; img-src  * data:;connect-src * wss:
magistv.video,NA,NA
sync.sync.viewdeos.com,undefined,undefined
mangalear.blog,undefined,undefined
xxxmovies.su,max-age=63072000;,undefined
doramytop.com,undefined,undefined
cakewalk.com,undefined,undefined
springyaws.com,NA,NA
vporno.video,NA,NA
www.outreachtime.com,max-age=31536000,default-src https:; img-src https: data: blob:; script-src https: 'unsafe-inline' 'unsafe-eval'; style-src https: 'unsafe-inline' 'unsafe-eval'; connect-src https: wss:; font-src https: data: 'unsafe-inline' 'unsafe-eval';
desipornx.org,undefined,undefined
gcsd.global.sonicwall.com,NA,NA
fhwn.ac.at,max-age=15768000,undefined
traicy.com,undefined,undefined
qtarget.tech,NA,NA
ods-incidents-d2ehgrd4c4ayfegw.z01.azurefd.net,NA,NA
payloadz.com,undefined,undefined
aupaathletic.com,undefined,undefined
com.danuoyi.tbcache.com,NA,NA
home-ip.tv,undefined,undefined
scratchstakes.com,undefined,undefined
carolinaherrera.com,max-age=63072000; includeSubDomains,default-src 'self'; style-src https: 'unsafe-inline'; style-src-elem https: 'unsafe-inline'; script-src https: 'unsafe-inline' 'unsafe-eval'; connect-src https: data: wss: blob:; font-src https: data:; frame-src https:; img-src https: data: 'self'; worker-src blob: https:; media-src blob: https:; frame-ancestors 'self' https://www.sephora.ae/ https://perfumeriafirst.com/
www.vogue.co.uk,undefined,undefined
24videos.name,undefined,undefined
test-hf.su,NA,NA
lo4d.com,undefined,undefined
webtv.net,NA,NA
mobpanda.dev,NA,NA
tuxedo.org,undefined,undefined
my.stubhub.com,max-age=31536000,undefined
ablogtowatch.com,undefined,undefined
unibocconi.it,undefined,undefined
flare.network,undefined,undefined
cnmc.es,NA,NA
adengine.snigelweb.com,undefined,undefined
lgcity.ru,undefined,undefined
online-kora.tv,max-age=31536000,undefined
elephantdrive.com,undefined,undefined
